entry_idx,direction,pnl_r_v3a,is_winner,mfe_r,mae_r,asset,year
6351,short,-0.1386,False,0.6764,0.5826,ETHUSDT,2023
6400,short,-1.3024,False,5.9913,2.2372,ETHUSDT,2023
6447,short,-1.1445,False,0.1147,5.2592,ETHUSDT,2023
6807,short,0.3835,True,1.668,0.6598,ETHUSDT,2023
6855,short,-1.1257,False,0.029,3.3369,ETHUSDT,2023
6976,short,1.2675,True,2.375,0.2084,ETHUSDT,2023
7142,long,-1.059,False,2.4057,1.1426,ETHUSDT,2023
7233,long,-0.1341,False,1.9917,0.8946,ETHUSDT,2023
7256,long,-1.0466,False,0.3719,1.2144,ETHUSDT,2023
7360,long,1.064,True,1.6797,0.9584,ETHUSDT,2023
7477,long,-0.1117,False,2.6964,0.6265,ETHUSDT,2023
7552,long,-1.0713,False,0.0266,2.852,ETHUSDT,2023
7594,long,1.2761,True,2.8294,1.2253,ETHUSDT,2023
7646,long,1.1979,True,3.0588,0.3598,ETHUSDT,2023
7720,long,-1.0897,False,0.384,1.0677,ETHUSDT,2023
7743,long,1.6221,True,4.2602,0.0674,ETHUSDT,2023
7809,long,1.9044,True,2.9687,0.2398,ETHUSDT,2023
7957,long,1.3888,True,1.9887,0.4985,ETHUSDT,2023
8175,long,0.7516,True,1.3289,0.0946,ETHUSDT,2023
8319,long,1.2077,True,3.058,0.5596,ETHUSDT,2023
8391,long,-1.1047,False,0.3672,2.9122,ETHUSDT,2023
8504,long,1.4618,True,2.533,0.4183,ETHUSDT,2023
8649,long,4.7663,True,9.4187,0.1223,ETHUSDT,2023
8746,long,-1.0959,False,0.5832,2.4954,ETHUSDT,2023
231,long,-0.4098,False,0.9006,0.773,SOLUSDT,2023
470,long,5.334,True,11.3931,0.1148,SOLUSDT,2023
681,long,4.4428,True,6.1732,0.2364,SOLUSDT,2023
807,long,-1.0367,False,0.3151,1.0176,SOLUSDT,2023
898,long,-1.0577,False,2.4984,2.1466,SOLUSDT,2023
1665,short,-0.5041,False,0.7972,0.9261,SOLUSDT,2023
1863,long,-0.0372,False,3.0021,1.2496,SOLUSDT,2023
1909,long,-1.027,False,0.3529,1.3816,SOLUSDT,2023
1934,long,-1.0387,False,0.7375,3.3877,SOLUSDT,2023
1959,long,-1.0358,False,0.6365,2.473,SOLUSDT,2023
2343,short,1.2157,True,3.6869,0.0178,SOLUSDT,2023
2390,short,-1.1064,False,0.0117,14.8451,SOLUSDT,2023
2536,long,-0.0694,False,5.4359,0.1235,SOLUSDT,2023
2576,long,-0.0487,False,1.1278,1.1105,SOLUSDT,2023
2704,short,-0.0557,False,1.7151,1.4504,SOLUSDT,2023
2727,short,0.7719,True,1.4904,0.4881,SOLUSDT,2023
3471,short,-0.3202,False,0.614,0.7975,SOLUSDT,2023
3832,short,2.6581,True,16.6558,0.0028,SOLUSDT,2023
3927,short,-1.0295,False,0.0598,1.108,SOLUSDT,2023
3951,short,-1.0502,False,4.1471,1.0349,SOLUSDT,2023
4142,short,0.3702,True,0.7734,0.7162,SOLUSDT,2023
4191,short,-1.0265,False,0.5213,1.3511,SOLUSDT,2023
4238,short,1.3833,True,3.0239,0.1801,SOLUSDT,2023
4429,long,-0.0632,False,1.8833,1.3808,SOLUSDT,2023
4713,long,-1.0315,False,0.8873,1.1722,SOLUSDT,2023
4863,long,-1.0655,False,0.1502,4.9004,SOLUSDT,2023
5008,long,-1.0556,False,0.3129,1.3664,SOLUSDT,2023
5342,long,-1.0802,False,0.2121,1.621,SOLUSDT,2023
5366,long,2.4626,True,3.5802,0.1962,SOLUSDT,2023
5414,long,1.8394,True,3.8632,0.4763,SOLUSDT,2023
5560,short,-1.0742,False,2.7934,1.1776,SOLUSDT,2023
5655,short,-0.0524,False,1.7404,0.4593,SOLUSDT,2023
5798,short,0.3023,True,0.5877,0.038,SOLUSDT,2023
5869,short,-1.0771,False,1.4581,1.1233,SOLUSDT,2023
5889,short,-1.0875,False,0.9719,3.1612,SOLUSDT,2023
5918,short,-0.0709,False,1.8456,0.599,SOLUSDT,2023
5959,short,-0.0537,False,1.8722,0.5777,SOLUSDT,2023
6010,short,-0.0022,False,0.695,0.4742,SOLUSDT,2023
6182,short,-1.0576,False,0.7441,2.5052,SOLUSDT,2023
6207,short,-0.3,False,0.8739,0.6911,SOLUSDT,2023
6229,short,0.9439,True,2.2431,1.9496,SOLUSDT,2023
6470,short,-1.0387,False,0.2968,1.3311,SOLUSDT,2023
6661,long,-1.0476,False,0.4021,1.8559,SOLUSDT,2023
6687,long,-0.0447,False,1.5256,0.4168,SOLUSDT,2023
6729,long,-1.0698,False,0.3639,1.3034,SOLUSDT,2023
6736,long,-1.0678,False,0.1898,5.1287,SOLUSDT,2023
6801,long,-1.0586,False,0.1486,2.578,SOLUSDT,2023
6993,long,4.9024,True,7.5177,0.2415,SOLUSDT,2023
7231,long,0.7758,True,1.6646,0.2759,SOLUSDT,2023
7622,long,-1.02,False,1.0016,2.0389,SOLUSDT,2023
7761,long,-1.0374,False,0.4486,3.7032,SOLUSDT,2023
7813,long,1.2708,True,2.3623,0.7657,SOLUSDT,2023
7954,long,3.1575,True,3.301,0.3787,SOLUSDT,2023
8169,long,1.5848,True,5.6138,0.4303,SOLUSDT,2023
8650,long,-1.0242,False,0.0882,2.8118,SOLUSDT,2023
8745,long,-1.0385,False,0.2932,1.9594,SOLUSDT,2023
