asset,year,role,session,atr_mult,candidate,hypothesis,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout,source
BTCUSDT,2023,candidate,dcv1_activo_15h,1.0,1.0 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",110,109,9.39,0.991,False,1.185,31.2,0.119,2.445,-0.935,12.99,-5.84,9.3,0,101,8,computado hoy (dcv1_activo_15h)
BTCUSDT,2023,candidate,dcv1_activo_15h,1.5,1.5 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",110,108,9.37,0.982,False,1.021,29.6,0.012,1.935,-0.798,1.28,-6.88,9.2,0,93,15,computado hoy (dcv1_activo_15h)
BTCUSDT,2023,candidate,dcv1_activo_15h,2.0,2.0 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",110,106,9.34,0.964,False,0.967,29.2,-0.016,1.62,-0.692,-1.7,-5.15,9.0,0,82,24,computado hoy (dcv1_activo_15h)
BTCUSDT,2023,candidate,dcv1_activo_15h,3.0,3.0 | dcv1_activo_15h,primary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",110,104,9.41,0.945,False,0.875,32.7,-0.046,0.991,-0.55,-4.82,-6.59,8.9,0,51,53,computado hoy (dcv1_activo_15h)
ETHUSDT,2023,candidate,dcv1_activo_15h,1.0,1.0 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",118,116,9.87,0.983,False,0.664,25.0,-0.198,1.569,-0.787,-23.01,-15.53,9.7,0,108,8,computado hoy (dcv1_activo_15h)
ETHUSDT,2023,candidate,dcv1_activo_15h,1.5,1.5 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",118,113,9.82,0.958,False,0.782,26.5,-0.119,1.606,-0.743,-13.44,-12.44,9.4,0,95,18,computado hoy (dcv1_activo_15h)
ETHUSDT,2023,candidate,dcv1_activo_15h,2.0,2.0 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",118,111,9.89,0.941,False,0.825,27.0,-0.091,1.586,-0.712,-10.12,-11.24,9.3,0,81,30,computado hoy (dcv1_activo_15h)
ETHUSDT,2023,candidate,dcv1_activo_15h,3.0,3.0 | dcv1_activo_15h,primary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",118,108,9.83,0.915,False,0.676,27.8,-0.137,1.03,-0.586,-14.82,-8.22,9.0,0,51,57,computado hoy (dcv1_activo_15h)
SOLUSDT,2023,candidate,dcv1_activo_15h,1.0,1.0 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",100,99,8.38,0.99,False,1.196,25.3,0.104,2.515,-0.71,10.32,-7.35,8.3,0,97,2,computado hoy (dcv1_activo_15h)
SOLUSDT,2023,candidate,dcv1_activo_15h,1.5,1.5 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",100,98,8.37,0.98,False,1.272,31.6,0.132,1.958,-0.713,12.96,-5.22,8.2,0,77,21,computado hoy (dcv1_activo_15h)
SOLUSDT,2023,candidate,dcv1_activo_15h,2.0,2.0 | dcv1_activo_15h,secondary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",100,94,8.4,0.94,False,1.372,37.2,0.151,1.493,-0.645,14.17,-3.76,7.9,0,62,32,computado hoy (dcv1_activo_15h)
SOLUSDT,2023,candidate,dcv1_activo_15h,3.0,3.0 | dcv1_activo_15h,primary,"atr_mult x sesión (be=1.0R/activation=2.0R/distance=1.0R, atr_period=14/max_hold=20 fijos; atr_mult & sesión variable — control_8h leído de H1, no recomputado)",100,93,8.39,0.93,False,1.408,40.9,0.136,1.147,-0.563,12.64,-2.76,7.8,0,34,59,computado hoy (dcv1_activo_15h)
