symbol,entry_time,direction,entry,sl,tp,outcome,pnl_r,mfe_r,mae_r,duration_h,periodo
SOLUSDT,2022-07-08 08:00:00+00:00,short,36.91,37.8898,34.4604,sl,-1.0,0.5,1.898,7,2022
SOLUSDT,2022-07-14 13:00:00+00:00,short,33.81,34.5736,31.9009,sl,-1.0,0.157,1.82,2,2022
SOLUSDT,2022-07-16 15:00:00+00:00,long,37.92,37.1574,39.8265,tp,2.5,2.819,0.079,1,2022
SOLUSDT,2022-07-30 08:00:00+00:00,long,42.7,41.554,45.565,tp,2.5,3.133,0.777,7,2022
SOLUSDT,2022-07-31 09:00:00+00:00,long,44.12,42.8855,47.2063,sl,-1.0,0.859,1.053,9,2022
SOLUSDT,2022-08-02 16:00:00+00:00,long,42.16,41.0778,44.8655,sl,-1.0,0.129,1.164,3,2022
SOLUSDT,2022-08-07 13:00:00+00:00,long,40.38,39.8342,41.7445,tp,2.5,3.17,0.348,14,2022
SOLUSDT,2022-08-30 15:00:00+00:00,short,31.18,31.8771,29.4371,sl,-1.0,0.818,1.176,4,2022
SOLUSDT,2022-09-05 10:00:00+00:00,short,31.19,31.69,29.94,sl,-1.0,0.08,1.16,4,2022
SOLUSDT,2022-09-10 08:00:00+00:00,short,34.6,35.3126,32.8186,sl,-1.0,0.463,1.123,14,2022
SOLUSDT,2022-09-18 14:00:00+00:00,short,32.98,33.4895,31.7063,tp,2.5,4.318,0.157,7,2022
SOLUSDT,2022-09-21 15:00:00+00:00,short,31.48,32.0744,29.9941,sl,-1.0,0.05,1.413,2,2022
SOLUSDT,2022-09-25 13:00:00+00:00,short,33.24,33.7908,31.8629,tp,2.5,2.578,0.2,9,2022
SOLUSDT,2022-10-10 08:00:00+00:00,short,32.53,32.91,31.58,tp,2.5,3.947,0.947,16,2022
SOLUSDT,2022-10-23 15:00:00+00:00,short,27.92,28.2727,27.0383,sl,-1.0,0.085,1.645,2,2022
SOLUSDT,2022-10-28 16:00:00+00:00,long,31.82,31.02,33.82,tp,2.5,2.525,0.325,16,2022
SOLUSDT,2022-11-01 09:00:00+00:00,long,32.9,32.3266,34.3334,sl,-1.0,0.837,1.151,5,2022
SOLUSDT,2022-11-17 09:00:00+00:00,short,14.104,14.4258,13.2994,tp,2.5,3.952,0.41,4,2022
SOLUSDT,2022-11-20 10:00:00+00:00,short,12.729,13.0166,12.0101,sl,-1.0,0.97,1.36,3,2022
SOLUSDT,2022-11-27 10:00:00+00:00,short,14.254,14.4917,13.6599,tp,2.5,5.849,0.707,15,2022
SOLUSDT,2022-11-29 16:00:00+00:00,short,13.375,13.6677,12.6432,sl,-1.0,0.355,1.657,8,2022
SOLUSDT,2022-11-30 16:00:00+00:00,short,13.469,13.7163,12.8508,sl,-1.0,1.201,1.492,3,2022
SOLUSDT,2022-12-18 09:00:00+00:00,short,12.287,12.4786,11.8081,sl,-1.0,0.151,1.269,9,2022
SOLUSDT,2022-12-30 07:00:00+00:00,short,9.108,9.7707,7.4513,sl,-1.0,0.208,1.444,5,2022
SOLUSDT,2023-01-20 14:00:00+00:00,long,21.428,20.9664,22.582,tp,2.5,2.511,0.115,3,2023
SOLUSDT,2023-01-29 09:00:00+00:00,long,24.284,23.8653,25.3309,tp,2.5,5.495,0.236,8,2023
SOLUSDT,2023-02-03 15:00:00+00:00,long,24.846,24.2367,26.3692,sl,-1.0,0.315,1.018,5,2023
SOLUSDT,2023-02-07 10:00:00+00:00,long,23.331,22.9672,24.2406,sl,-1.0,0.322,1.127,5,2023
SOLUSDT,2023-02-27 14:00:00+00:00,long,23.223,22.8542,24.1451,sl,-1.0,0.48,1.011,1,2023
SOLUSDT,2023-03-19 15:00:00+00:00,long,22.0,21.467,23.3324,sl,-1.0,1.876,1.25,13,2023
SOLUSDT,2023-03-21 13:00:00+00:00,long,23.062,22.294,24.9819,sl,-1.0,0.353,1.244,5,2023
SOLUSDT,2023-03-22 14:00:00+00:00,long,22.705,22.1775,24.0237,sl,-1.0,0.737,1.81,4,2023
SOLUSDT,2023-03-23 15:00:00+00:00,long,22.392,21.8295,23.7982,sl,-1.0,0.636,1.211,3,2023
SOLUSDT,2023-04-02 13:00:00+00:00,short,20.81,21.0505,20.2088,tp,2.5,2.532,0.191,6,2023
SOLUSDT,2023-04-08 15:00:00+00:00,short,20.441,20.6092,20.0206,tp,2.5,3.687,0.018,7,2023
SOLUSDT,2023-04-10 14:00:00+00:00,short,20.157,20.3275,19.7308,sl,-1.0,0.012,2.188,2,2023
SOLUSDT,2023-04-16 16:00:00+00:00,long,24.351,24.0353,25.1402,tp,2.5,3.76,0.124,4,2023
SOLUSDT,2023-04-18 08:00:00+00:00,long,24.94,24.4789,26.0926,sl,-1.0,1.128,1.026,9,2023
SOLUSDT,2023-04-23 16:00:00+00:00,short,21.496,21.8435,20.6273,sl,-1.0,1.715,1.45,9,2023
SOLUSDT,2023-05-04 15:00:00+00:00,short,21.796,22.0994,21.0376,sl,-1.0,0.613,1.038,11,2023
SOLUSDT,2023-05-29 15:00:00+00:00,short,20.481,20.7137,19.8993,sl,-1.0,0.928,2.033,10,2023
SOLUSDT,2023-06-09 16:00:00+00:00,short,18.507,18.8617,17.6204,tp,2.5,3.705,0.003,3,2023
SOLUSDT,2023-06-13 15:00:00+00:00,short,14.79,15.2413,13.6618,sl,-1.0,0.06,1.072,11,2023
SOLUSDT,2023-06-14 15:00:00+00:00,short,15.092,15.3625,14.4156,sl,-1.0,0.152,1.035,2,2023
SOLUSDT,2023-06-24 15:00:00+00:00,short,16.614,17.178,15.204,sl,-1.0,0.521,1.089,15,2023
SOLUSDT,2023-06-26 14:00:00+00:00,short,16.828,17.1389,16.0509,tp,2.5,2.503,0.18,7,2023
SOLUSDT,2023-07-04 13:00:00+00:00,long,19.429,19.1524,20.1206,sl,-1.0,1.883,1.236,10,2023
SOLUSDT,2023-07-16 09:00:00+00:00,long,27.998,27.1978,29.9985,sl,-1.0,0.887,1.172,14,2023
SOLUSDT,2023-07-22 15:00:00+00:00,long,25.679,25.3262,26.5611,sl,-1.0,0.15,1.358,3,2023
SOLUSDT,2023-07-28 16:00:00+00:00,long,25.283,24.8739,26.3057,sl,-1.0,0.313,1.122,1,2023
SOLUSDT,2023-08-11 14:00:00+00:00,long,24.791,24.5128,25.4866,sl,-1.0,0.212,1.046,1,2023
SOLUSDT,2023-08-12 14:00:00+00:00,long,24.625,24.4365,25.0963,tp,2.5,3.58,0.196,8,2023
SOLUSDT,2023-08-14 14:00:00+00:00,long,24.624,24.3972,25.1909,tp,2.5,2.937,0.234,2,2023
SOLUSDT,2023-08-20 16:00:00+00:00,short,21.637,21.8994,20.981,sl,-1.0,0.255,1.178,4,2023
SOLUSDT,2023-09-02 13:00:00+00:00,short,19.445,19.672,18.8775,sl,-1.0,0.41,1.123,2,2023
SOLUSDT,2023-09-03 09:00:00+00:00,short,19.404,19.6036,18.905,sl,-1.0,0.972,1.017,11,2023
SOLUSDT,2023-09-15 14:00:00+00:00,short,18.761,19.054,18.0285,sl,-1.0,0.744,1.57,8,2023
SOLUSDT,2023-09-17 13:00:00+00:00,short,18.988,19.1788,18.511,sl,-1.0,2.243,1.389,13,2023
SOLUSDT,2023-09-27 14:00:00+00:00,short,18.846,19.284,17.751,sl,-1.0,0.297,1.084,10,2023
SOLUSDT,2023-10-05 13:00:00+00:00,long,23.3,22.8598,24.4005,sl,-1.0,0.402,1.699,2,2023
SOLUSDT,2023-10-08 09:00:00+00:00,long,23.44,23.1377,24.1957,sl,-1.0,0.212,1.022,1,2023
SOLUSDT,2023-10-08 16:00:00+00:00,long,23.414,23.1032,24.191,sl,-1.0,0.19,1.12,8,2023
SOLUSDT,2023-10-11 09:00:00+00:00,long,22.349,22.0057,23.2072,sl,-1.0,0.149,1.599,6,2023
SOLUSDT,2023-10-19 09:00:00+00:00,long,23.937,23.5974,24.786,tp,2.5,2.771,0.241,6,2023
SOLUSDT,2023-11-14 14:00:00+00:00,long,57.358,54.7791,63.8052,sl,-1.0,0.08,1.019,1,2023
SOLUSDT,2023-11-20 09:00:00+00:00,long,60.51,59.0521,64.1548,sl,-1.0,0.449,2.427,5,2023
SOLUSDT,2023-11-28 10:00:00+00:00,long,55.854,54.7237,58.6796,tp,2.5,2.573,0.379,14,2023
SOLUSDT,2023-12-07 09:00:00+00:00,long,63.239,61.5216,67.5324,tp,2.5,2.618,0.43,8,2023
SOLUSDT,2023-12-27 10:00:00+00:00,long,115.123,110.85,125.8055,sl,-1.0,0.088,1.886,4,2023
