symbol,entry_time,direction,entry,sl,tp,outcome,pnl_r,mfe_r,mae_r,duration_h,periodo
BTCUSDT,2022-12-02 13:00:00+00:00,short,16881.5,17096.3,16344.5,sl,-1.0,0.16,1.297,11,2022
BTCUSDT,2022-12-03 08:00:00+00:00,short,16939.6,17034.6057,16702.0857,sl,-1.0,0.942,1.12,17,2022
BTCUSDT,2022-12-04 13:00:00+00:00,short,16939.6,17020.2655,16737.9362,sl,-1.0,0.216,1.512,2,2022
BTCUSDT,2022-12-18 09:00:00+00:00,short,16689.6,16773.0702,16480.9244,sl,-1.0,0.315,1.203,9,2022
BTCUSDT,2022-12-19 15:00:00+00:00,short,16660.2,16747.9229,16440.8928,tp,2.5,5.132,0.396,7,2022
BTCUSDT,2022-12-25 07:00:00+00:00,short,16816.8,16851.6044,16729.789,tp,2.5,3.356,0.325,7,2022
BTCUSDT,2022-12-26 15:00:00+00:00,short,16801.2,16849.6323,16680.1192,sl,-1.0,0.19,1.142,4,2022
BTCUSDT,2023-01-03 15:00:00+00:00,short,16670.8,16738.7434,16500.9415,sl,-1.0,1.038,1.163,11,2023
BTCUSDT,2023-01-23 10:00:00+00:00,long,22909.0,22671.8929,23501.7677,sl,-1.0,0.329,1.027,3,2023
BTCUSDT,2023-01-31 15:00:00+00:00,long,23113.9,22897.1557,23655.7607,sl,-1.0,0.497,1.43,6,2023
BTCUSDT,2023-02-01 14:00:00+00:00,long,23098.0,22917.2785,23549.8037,sl,-1.0,0.093,1.054,2,2023
BTCUSDT,2023-02-04 14:00:00+00:00,long,23462.5,23302.5303,23862.4242,sl,-1.0,0.074,1.278,9,2023
BTCUSDT,2023-02-07 09:00:00+00:00,long,23001.6,22837.8486,23410.9786,sl,-1.0,2.241,1.463,9,2023
BTCUSDT,2023-02-28 15:00:00+00:00,long,23511.2,23298.4738,24043.0155,sl,-1.0,0.384,1.486,4,2023
BTCUSDT,2023-03-07 09:00:00+00:00,short,22370.8,22476.1395,22107.4513,sl,-1.0,4.393,1.061,6,2023
BTCUSDT,2023-03-11 08:00:00+00:00,short,20060.4,20455.3415,19073.0462,sl,-1.0,0.29,1.192,15,2023
BTCUSDT,2023-03-16 09:00:00+00:00,long,24655.4,24217.8598,25749.2505,tp,2.5,2.837,0.319,17,2023
BTCUSDT,2023-03-19 14:00:00+00:00,long,27316.6,26961.1516,28205.2209,tp,2.5,2.835,0.047,4,2023
BTCUSDT,2023-03-23 15:00:00+00:00,long,28574.5,27968.0,30090.75,sl,-1.0,0.117,1.31,3,2023
BTCUSDT,2023-04-03 10:00:00+00:00,long,28291.3,27993.0846,29036.8386,sl,-1.0,0.264,1.201,4,2023
BTCUSDT,2023-04-18 09:00:00+00:00,long,29887.0,29655.4814,30465.7964,tp,2.5,2.561,0.159,3,2023
BTCUSDT,2023-04-23 15:00:00+00:00,short,27460.2,27697.9988,26865.7029,sl,-1.0,0.644,1.72,9,2023
BTCUSDT,2023-04-24 08:00:00+00:00,short,27173.9,27510.0,26333.65,sl,-1.0,0.071,1.101,3,2023
BTCUSDT,2023-04-30 09:00:00+00:00,long,29242.7,29099.1074,29601.6816,tp,2.5,4.926,0.646,6,2023
BTCUSDT,2023-05-07 15:00:00+00:00,long,28933.1,28709.9222,29491.0445,sl,-1.0,0.389,1.044,7,2023
BTCUSDT,2023-05-10 07:00:00+00:00,short,27532.4,27747.8079,26993.8802,sl,-1.0,0.346,2.955,5,2023
BTCUSDT,2023-05-18 16:00:00+00:00,short,27060.1,27304.7354,26448.5115,tp,2.5,2.963,0.074,1,2023
BTCUSDT,2023-06-12 15:00:00+00:00,short,25809.3,26019.8829,25282.8428,sl,-1.0,0.804,1.029,9,2023
BTCUSDT,2023-06-29 08:00:00+00:00,long,30376.4,30137.3766,30973.9585,tp,2.5,3.864,0.646,20,2023
BTCUSDT,2023-07-02 14:00:00+00:00,long,30586.5,30462.3517,30896.8706,sl,-1.0,0.189,3.517,1,2023
BTCUSDT,2023-07-02 16:00:00+00:00,long,30558.4,30379.9928,31004.4179,sl,-1.0,0.108,1.122,2,2023
BTCUSDT,2023-07-06 07:00:00+00:00,long,30792.3,30583.5266,31314.2335,tp,2.5,2.716,0.102,1,2023
BTCUSDT,2023-07-10 14:00:00+00:00,long,30296.8,30121.8185,30734.2538,tp,2.5,3.047,0.419,5,2023
BTCUSDT,2023-07-16 14:00:00+00:00,long,30388.6,30267.2401,30691.9996,sl,-1.0,0.256,1.604,4,2023
BTCUSDT,2023-07-26 10:00:00+00:00,short,29180.0,29323.767,28820.5826,sl,-1.0,0.242,1.178,4,2023
BTCUSDT,2023-07-29 10:00:00+00:00,short,29264.7,29362.3818,29020.4954,sl,-1.0,0.189,1.066,10,2023
BTCUSDT,2023-07-31 15:00:00+00:00,short,29231.3,29363.5386,28900.7034,tp,2.5,4.133,0.802,11,2023
BTCUSDT,2023-08-07 13:00:00+00:00,short,29019.4,29124.9736,28755.466,tp,2.5,3.193,0.438,3,2023
BTCUSDT,2023-09-06 07:00:00+00:00,short,25715.0,25830.0781,25427.3048,sl,-1.0,3.38,2.928,10,2023
BTCUSDT,2023-09-11 09:00:00+00:00,short,25727.3,25874.7903,25358.5742,tp,2.5,5.194,0.152,5,2023
BTCUSDT,2023-09-20 14:00:00+00:00,long,27109.9,26875.7338,27695.3155,sl,-1.0,0.803,1.58,5,2023
BTCUSDT,2023-10-04 09:00:00+00:00,long,27610.8,27407.9695,28117.8762,sl,-1.0,0.083,1.138,4,2023
BTCUSDT,2023-10-06 09:00:00+00:00,long,27674.9,27503.3481,28103.7796,sl,-1.0,0.642,3.001,3,2023
