asset,year,role,session,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
SOLUSDT,2022,candidate,control_8h,2.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",63,61,5.37,0.968,False,1.156,29.5,0.073,1.846,-0.668,4.47,-3.85,5.2,0,53,8
SOLUSDT,2022,candidate,control_8h,3.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",63,61,5.37,0.968,False,1.193,27.9,0.091,2.021,-0.655,5.55,-2.94,5.2,0,50,11
SOLUSDT,2022,candidate,dcv1_activo_15h,1.25 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",107,103,8.93,0.963,False,1.024,42.7,0.012,1.132,-0.824,1.19,-4.37,8.6,0,91,12
SOLUSDT,2022,candidate,dcv1_activo_15h,1.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",107,103,8.93,0.963,False,1.003,35.9,0.002,1.325,-0.74,0.16,-4.84,8.6,0,89,14
SOLUSDT,2022,candidate,dcv1_activo_15h,2.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",107,103,8.93,0.963,False,1.003,31.1,0.001,1.539,-0.691,0.15,-5.44,8.6,0,87,16
SOLUSDT,2022,candidate,dcv1_activo_15h,2.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",107,103,8.93,0.963,False,1.125,29.1,0.06,1.845,-0.674,6.16,-4.32,8.6,0,83,20
SOLUSDT,2022,candidate,dcv1_activo_15h,3.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",107,103,8.93,0.963,False,1.12,28.2,0.057,1.902,-0.666,5.9,-3.67,8.6,0,78,25
BTCUSDT,2023,candidate,control_8h,1.25 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",62,61,5.39,0.984,False,0.749,37.7,-0.143,1.129,-0.913,-8.71,-4.7,5.3,0,54,7
BTCUSDT,2023,candidate,control_8h,1.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",62,61,5.39,0.984,False,0.718,31.1,-0.163,1.332,-0.839,-9.94,-5.29,5.3,0,54,7
BTCUSDT,2023,candidate,control_8h,2.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",62,61,5.39,0.984,False,0.713,24.6,-0.169,1.702,-0.779,-10.29,-5.18,5.3,0,53,8
BTCUSDT,2023,candidate,control_8h,2.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",62,61,5.39,0.984,False,0.646,19.7,-0.21,1.948,-0.738,-12.8,-6.31,5.3,0,53,8
BTCUSDT,2023,candidate,control_8h,3.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",62,61,5.39,0.984,False,0.564,18.0,-0.26,1.865,-0.727,-15.84,-7.72,5.3,0,50,11
BTCUSDT,2023,candidate,dcv1_activo_15h,1.25 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",110,108,9.37,0.982,False,1.074,39.8,0.04,1.48,-0.912,4.37,-6.49,9.2,0,95,13
BTCUSDT,2023,candidate,dcv1_activo_15h,1.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",110,108,9.37,0.982,False,1.049,35.2,0.027,1.655,-0.856,2.95,-6.8,9.2,0,94,14
BTCUSDT,2023,candidate,dcv1_activo_15h,2.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",110,108,9.37,0.982,False,1.021,29.6,0.012,1.935,-0.798,1.28,-6.88,9.2,0,93,15
BTCUSDT,2023,candidate,dcv1_activo_15h,2.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",110,108,9.37,0.982,False,1.034,26.9,0.019,2.176,-0.772,2.1,-6.49,9.2,0,93,15
BTCUSDT,2023,candidate,dcv1_activo_15h,3.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",110,108,9.37,0.982,False,0.966,25.0,-0.019,2.193,-0.757,-2.08,-7.05,9.2,0,88,20
ETHUSDT,2023,candidate,control_8h,1.25 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",69,67,5.77,0.971,False,0.979,37.3,-0.01,1.326,-0.806,-0.7,-6.51,5.6,0,58,9
ETHUSDT,2023,candidate,control_8h,1.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",69,67,5.77,0.971,False,1.02,35.8,0.01,1.442,-0.789,0.68,-6.51,5.6,0,58,9
ETHUSDT,2023,candidate,control_8h,2.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",69,67,5.77,0.971,False,0.952,29.9,-0.025,1.636,-0.731,-1.65,-7.21,5.6,0,56,11
ETHUSDT,2023,candidate,control_8h,2.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",69,67,5.77,0.971,False,1.211,26.9,0.11,2.339,-0.709,7.35,-7.25,5.6,0,54,13
ETHUSDT,2023,candidate,control_8h,3.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",69,67,5.77,0.971,False,1.106,22.4,0.056,2.583,-0.673,3.73,-6.92,5.6,0,53,14
ETHUSDT,2023,candidate,dcv1_activo_15h,1.25 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",118,113,9.82,0.958,False,0.773,33.6,-0.122,1.234,-0.809,-13.77,-10.27,9.4,0,97,16
ETHUSDT,2023,candidate,dcv1_activo_15h,1.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",118,113,9.82,0.958,False,0.792,31.9,-0.112,1.339,-0.79,-12.67,-10.42,9.4,0,97,16
ETHUSDT,2023,candidate,dcv1_activo_15h,2.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",118,113,9.82,0.958,False,0.782,26.5,-0.119,1.606,-0.743,-13.44,-12.44,9.4,0,95,18
ETHUSDT,2023,candidate,dcv1_activo_15h,2.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",118,113,9.82,0.958,False,0.875,22.1,-0.069,2.178,-0.707,-7.8,-11.92,9.4,0,92,21
ETHUSDT,2023,candidate,dcv1_activo_15h,3.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",118,113,9.82,0.958,False,0.823,18.6,-0.098,2.453,-0.681,-11.1,-11.61,9.4,0,90,23
SOLUSDT,2023,candidate,control_8h,1.25 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",56,56,4.7,1.0,False,1.256,39.3,0.133,1.658,-0.854,7.43,-4.62,4.7,0,47,9
SOLUSDT,2023,candidate,control_8h,1.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",56,56,4.7,1.0,False,1.279,39.3,0.144,1.688,-0.854,8.09,-4.31,4.7,0,47,9
SOLUSDT,2023,candidate,control_8h,2.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",56,56,4.7,1.0,False,1.138,28.6,0.072,2.088,-0.734,4.04,-6.3,4.7,0,46,10
SOLUSDT,2023,candidate,control_8h,2.5 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",56,56,4.7,1.0,False,1.203,26.8,0.107,2.363,-0.719,5.98,-5.87,4.7,0,45,11
SOLUSDT,2023,candidate,control_8h,3.0 | control_8h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",56,56,4.7,1.0,False,1.173,25.0,0.091,2.476,-0.704,5.1,-6.78,4.7,0,45,11
SOLUSDT,2023,candidate,dcv1_activo_15h,1.25 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",100,98,8.37,0.98,False,1.36,42.9,0.173,1.523,-0.84,16.93,-5.19,8.2,0,82,16
SOLUSDT,2023,candidate,dcv1_activo_15h,1.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",100,98,8.37,0.98,False,1.347,38.8,0.168,1.678,-0.789,16.44,-4.87,8.2,0,82,16
SOLUSDT,2023,candidate,dcv1_activo_15h,2.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",100,98,8.37,0.98,False,1.272,31.6,0.132,1.958,-0.713,12.96,-5.22,8.2,0,77,21
SOLUSDT,2023,candidate,dcv1_activo_15h,2.5 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",100,98,8.37,0.98,False,1.307,29.6,0.15,2.16,-0.695,14.71,-6.36,8.2,0,74,24
SOLUSDT,2023,candidate,dcv1_activo_15h,3.0 | dcv1_activo_15h,"I1-activation (be=1.0R/distance=1.0R, activation & session variable)",100,98,8.37,0.98,False,1.288,28.6,0.141,2.209,-0.686,13.83,-7.1,8.2,0,74,24
