asset,candidate,exit_config,pf_2022,pf_2023,gate_2022,gate_2023,survives_both_years,rank_within_asset
ETHUSDT,0.5 | 1.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.115,0.85,False,False,False,
ETHUSDT,0.5 | 1.5 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.18,1.009,False,False,False,
ETHUSDT,0.5 | 2.0 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.063,0.929,False,False,False,
ETHUSDT,0.5 | 2.0 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.051,0.862,False,False,False,
ETHUSDT,0.5 | 2.0 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.165,1.013,False,False,False,
ETHUSDT,0.5 | 2.5 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.092,0.857,False,False,False,
ETHUSDT,0.5 | 2.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.041,0.942,False,False,False,
ETHUSDT,0.5 | 2.5 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.139,1.087,False,False,False,
ETHUSDT,0.75 | 1.5 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.074,0.754,False,False,False,
ETHUSDT,0.75 | 1.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.092,0.748,False,False,False,
ETHUSDT,0.75 | 1.5 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.203,0.882,False,False,False,
ETHUSDT,0.75 | 2.0 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.069,0.883,False,False,False,
ETHUSDT,0.75 | 2.0 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.047,0.825,False,False,False,
ETHUSDT,0.75 | 2.0 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.164,0.952,False,False,False,
ETHUSDT,0.75 | 2.5 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.063,0.806,False,False,False,
ETHUSDT,0.75 | 2.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.013,0.896,False,False,False,
ETHUSDT,0.75 | 2.5 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.12,1.034,False,False,False,
ETHUSDT,1.0 | 1.5 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.033,0.835,False,False,False,
ETHUSDT,1.0 | 1.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.04,0.792,False,False,False,
ETHUSDT,1.0 | 1.5 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.15,0.893,False,False,False,
ETHUSDT,1.0 | 2.0 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.063,0.843,False,False,False,
ETHUSDT,1.0 | 2.0 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.033,0.782,False,False,False,
ETHUSDT,1.0 | 2.0 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.142,0.885,False,False,False,
ETHUSDT,1.0 | 2.5 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.02,0.791,False,False,False,
ETHUSDT,1.0 | 2.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",0.974,0.875,False,False,False,
ETHUSDT,1.0 | 2.5 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.079,1.002,False,False,False,
ETHUSDT,1.5 | 1.5 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.126,0.847,False,False,False,
ETHUSDT,1.5 | 1.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.08,0.761,False,False,False,
ETHUSDT,1.5 | 1.5 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.178,0.892,False,False,False,
ETHUSDT,1.5 | 2.0 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.133,0.843,False,False,False,
ETHUSDT,1.5 | 2.0 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.069,0.754,False,False,False,
ETHUSDT,1.5 | 2.0 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.168,0.882,False,False,False,
ETHUSDT,1.5 | 2.5 | 0.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.11,0.782,False,False,False,
ETHUSDT,1.5 | 2.5 | 1.0,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.036,0.836,False,False,False,
ETHUSDT,1.5 | 2.5 | 1.5,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",1.137,0.944,False,False,False,
