asset,year,role,session,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
ETHUSDT,2023,candidate,control_8h,1.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",69,67,5.77,0.971,False,0.952,29.9,-0.025,1.636,-0.731,-1.65,-7.21,5.6,0,56,11
ETHUSDT,2023,candidate,control_8h,1.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",69,67,5.77,0.971,False,1.056,37.3,0.031,1.553,-0.875,2.05,-7.01,5.6,0,55,12
ETHUSDT,2023,candidate,control_8h,2.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",69,67,5.77,0.971,False,0.969,38.8,-0.019,1.5,-0.982,-1.26,-7.77,5.6,0,53,14
ETHUSDT,2023,candidate,dcv1_activo_15h,0.25 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",118,113,9.82,0.958,False,0.996,15.9,-0.001,1.764,-0.335,-0.11,-8.16,9.4,0,109,4
ETHUSDT,2023,candidate,dcv1_activo_15h,0.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",118,113,9.82,0.958,False,0.843,19.5,-0.061,1.667,-0.478,-6.84,-10.47,9.4,0,105,8
ETHUSDT,2023,candidate,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",118,113,9.82,0.958,False,0.782,26.5,-0.119,1.606,-0.743,-13.44,-12.44,9.4,0,95,18
ETHUSDT,2023,candidate,dcv1_activo_15h,1.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",118,112,9.9,0.949,False,0.885,34.8,-0.068,1.488,-0.899,-7.56,-10.1,9.4,0,91,21
ETHUSDT,2023,candidate,dcv1_activo_15h,2.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",118,112,9.9,0.949,False,0.855,36.6,-0.089,1.442,-0.974,-10.02,-10.84,9.4,0,88,24
SOLUSDT,2023,candidate,control_8h,0.25 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",56,56,4.7,1.0,False,0.614,10.7,-0.094,1.4,-0.274,-5.28,-3.07,4.7,0,55,1
SOLUSDT,2023,candidate,control_8h,0.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",56,56,4.7,1.0,False,0.819,16.1,-0.073,2.053,-0.48,-4.08,-6.49,4.7,0,54,2
SOLUSDT,2023,candidate,control_8h,1.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",56,56,4.7,1.0,False,1.138,28.6,0.072,2.088,-0.734,4.04,-6.3,4.7,0,46,10
SOLUSDT,2023,candidate,control_8h,1.5 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",56,56,4.7,1.0,False,1.134,30.4,0.073,2.023,-0.777,4.08,-6.29,4.7,0,45,11
SOLUSDT,2023,candidate,control_8h,2.0 | control_8h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",56,56,4.7,1.0,False,1.105,32.1,0.063,2.06,-0.883,3.54,-6.55,4.7,0,42,14
SOLUSDT,2023,candidate,dcv1_activo_15h,0.25 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",100,99,8.38,0.99,False,0.821,13.1,-0.043,1.505,-0.277,-4.26,-4.48,8.3,0,93,6
SOLUSDT,2023,candidate,dcv1_activo_15h,0.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",100,98,8.37,0.98,False,1.142,19.4,0.052,2.145,-0.452,5.06,-5.88,8.2,0,90,8
SOLUSDT,2023,candidate,dcv1_activo_15h,1.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",100,98,8.37,0.98,False,1.272,31.6,0.132,1.958,-0.713,12.96,-5.22,8.2,0,77,21
SOLUSDT,2023,candidate,dcv1_activo_15h,1.5 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",100,97,8.35,0.97,False,1.294,35.1,0.15,1.886,-0.787,14.58,-4.74,8.1,0,72,25
SOLUSDT,2023,candidate,dcv1_activo_15h,2.0 | dcv1_activo_15h,"I1-be (activation=2.0R/distance=1.0R, be & session variable)",100,97,8.35,0.97,False,1.249,37.1,0.138,1.863,-0.88,13.37,-4.88,8.1,0,68,29
