asset,year,role,session,distance,activation,be,candidate,evidence,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be_exits,reason_stop,reason_timeout
BTCUSDT,2022,candidate,dcv1_activo_15h,1.0,2.0,1.5,1.0 | 2.0 | 1.5,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.737,34.8,-0.156,1.252,-0.907,-17.9,-12.19,9.6,0,90,25
BTCUSDT,2022,candidate,dcv1_activo_15h,1.0,2.5,0.5,1.0 | 2.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,118,9.98,0.992,False,0.601,15.3,-0.183,1.808,-0.541,-21.58,-11.87,9.9,0,109,9
BTCUSDT,2022,candidate,dcv1_activo_15h,1.0,2.5,1.0,1.0 | 2.5 | 1.0,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.7,25.2,-0.166,1.54,-0.742,-19.13,-12.27,9.6,0,95,20
BTCUSDT,2022,candidate,dcv1_activo_15h,1.0,2.5,1.5,1.0 | 2.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.8,33.0,-0.118,1.436,-0.885,-13.6,-10.82,9.6,0,86,29
BTCUSDT,2022,candidate,dcv1_activo_15h,1.5,1.5,0.5,1.5 | 1.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,118,9.98,0.992,False,0.717,23.7,-0.127,1.357,-0.589,-15.0,-10.6,9.9,0,109,9
BTCUSDT,2022,candidate,dcv1_activo_15h,1.5,1.5,1.0,1.5 | 1.5 | 1.0,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.818,33.0,-0.099,1.35,-0.815,-11.44,-11.27,9.6,0,95,20
BTCUSDT,2022,candidate,dcv1_activo_15h,1.5,1.5,1.5,1.5 | 1.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.902,40.9,-0.057,1.288,-0.987,-6.59,-9.94,9.6,0,87,28
BTCUSDT,2022,candidate,dcv1_activo_15h,1.5,2.0,0.5,1.5 | 2.0 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,118,9.98,0.992,False,0.685,16.1,-0.144,1.948,-0.546,-17.02,-10.99,9.9,0,108,10
BTCUSDT,2022,candidate,dcv1_activo_15h,1.5,2.0,1.0,1.5 | 2.0 | 1.0,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.795,27.0,-0.113,1.632,-0.757,-13.04,-11.55,9.6,0,94,21
BTCUSDT,2022,candidate,dcv1_activo_15h,1.5,2.0,1.5,1.5 | 2.0 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.883,34.8,-0.069,1.501,-0.907,-7.97,-10.13,9.6,0,85,30
BTCUSDT,2022,candidate,dcv1_activo_15h,1.5,2.5,0.5,1.5 | 2.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,118,9.98,0.992,False,0.709,15.3,-0.133,2.133,-0.541,-15.73,-10.37,9.9,0,105,13
BTCUSDT,2022,candidate,dcv1_activo_15h,1.5,2.5,1.0,1.5 | 2.5 | 1.0,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.806,25.2,-0.108,1.773,-0.742,-12.38,-11.1,9.6,0,91,24
BTCUSDT,2022,candidate,dcv1_activo_15h,1.5,2.5,1.5,1.5 | 2.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",119,115,9.93,0.966,False,0.893,33.0,-0.064,1.601,-0.885,-7.3,-9.66,9.6,0,82,33
ETHUSDT,2022,candidate,dcv1_activo_15h,0.5,1.5,0.5,0.5 | 1.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.082,28.0,0.032,1.506,-0.542,3.44,-5.63,9.0,0,102,5
ETHUSDT,2022,candidate,dcv1_activo_15h,0.5,1.5,1.0,0.5 | 1.5 | 1.0,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.115,42.1,0.057,1.307,-0.851,6.05,-5.67,9.0,0,90,17
ETHUSDT,2022,candidate,dcv1_activo_15h,0.5,1.5,1.5,0.5 | 1.5 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.18,48.6,0.093,1.256,-1.007,9.94,-3.79,9.0,0,87,20
ETHUSDT,2022,candidate,dcv1_activo_15h,0.5,2.0,0.5,0.5 | 2.0 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.063,22.4,0.025,1.867,-0.508,2.65,-6.46,9.0,0,98,9
ETHUSDT,2022,candidate,dcv1_activo_15h,0.5,2.0,1.0,0.5 | 2.0 | 1.0,replica,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.051,34.6,0.026,1.515,-0.762,2.74,-7.22,9.0,0,85,22
ETHUSDT,2022,candidate,dcv1_activo_15h,0.5,2.0,1.5,0.5 | 2.0 | 1.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.165,41.1,0.086,1.48,-0.887,9.22,-3.63,9.0,0,81,26
ETHUSDT,2022,candidate,dcv1_activo_15h,0.5,2.5,0.5,0.5 | 2.5 | 0.5,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.092,21.5,0.036,2.005,-0.502,3.9,-5.44,9.0,0,94,13
ETHUSDT,2022,candidate,dcv1_activo_15h,0.5,2.5,1.0,0.5 | 2.5 | 1.0,new,"Espacio 1 — Gestión multivariable (distance x activation x be simultáneos; atr_mult=1.5/atr_period=14/max_hold=20 fijos; sesión=dcv1_activo_15h única, sin control_8h)",113,107,9.5,0.947,False,1.041,32.7,0.02,1.589,-0.742,2.17,-6.21,9.0,0,81,26
