entry_time,exit_time,direction,entry,sl,tp,exit_price,risk_pts,outcome,pnl_r,mfe_r,mae_r,duration_h,bias_4h,ema200_4h,periodo
2022-04-10 13:00:00+00:00,2022-04-10 17:00:00+00:00,short,42556.5,42861.44,41794.16,42861.44,304.94,sl,-1.0,0.133,2.563,4,short,43441.12,2022
2022-04-13 10:00:00+00:00,2022-04-13 13:00:00+00:00,short,39788.1,40316.12,38468.05,40316.12,528.02,sl,-1.0,0.355,1.449,3,short,43019.66,2022
2022-04-16 15:00:00+00:00,2022-04-16 21:00:00+00:00,short,40039.8,40569.0,38716.8,40569.0,529.2,sl,-1.0,0.109,1.074,6,short,42578.56,2022
2022-04-17 16:00:00+00:00,2022-04-18 04:00:00+00:00,short,40175.2,40467.51,39444.43,39444.43,292.31,tp,2.5,5.389,0.897,12,short,42423.35,2022
2022-04-26 14:00:00+00:00,2022-04-26 19:00:00+00:00,short,39269.7,39826.9,37876.7,37876.7,557.2,tp,2.5,2.67,0.144,5,short,41529.75,2022
2022-05-05 14:00:00+00:00,2022-05-05 15:00:00+00:00,short,38214.8,39060.0,36101.8,36101.8,845.2,tp,2.5,3.17,0.022,1,short,40369.72,2022
2022-05-26 08:00:00+00:00,2022-05-26 16:00:00+00:00,short,28991.0,29729.8,27144.0,29729.8,738.8,sl,-1.0,1.406,1.079,8,short,33254.11,2022
2022-06-01 07:00:00+00:00,2022-06-01 13:00:00+00:00,short,31479.6,31868.37,30507.67,31868.37,388.77,sl,-1.0,0.134,1.05,6,short,32284.33,2022
2022-06-01 14:00:00+00:00,2022-06-01 20:00:00+00:00,short,31160.5,31802.8,29554.75,29554.75,642.3,tp,2.5,2.897,0.093,6,short,32269.56,2022
2022-06-05 07:00:00+00:00,2022-06-05 15:00:00+00:00,short,29630.6,29841.66,29102.95,29841.66,211.06,sl,-1.0,0.505,1.632,8,short,31808.01,2022
2022-06-25 15:00:00+00:00,2022-06-25 21:00:00+00:00,short,20958.9,21283.27,20147.98,21283.27,324.37,sl,-1.0,0.158,1.775,6,short,25631.52,2022
2022-06-28 15:00:00+00:00,2022-06-29 11:00:00+00:00,short,20595.4,20900.56,19832.5,19832.5,305.16,tp,2.5,2.55,0.533,20,short,24889.65,2022
2022-07-01 10:00:00+00:00,2022-07-01 13:00:00+00:00,short,19062.5,19595.42,17730.21,19595.42,532.92,sl,-1.0,0.213,1.132,3,short,24102.36,2022
2022-08-03 08:00:00+00:00,2022-08-03 22:00:00+00:00,long,23284.5,22979.2,24047.75,22979.2,305.3,sl,-1.0,1.197,1.387,14,long,22483.11,2022
2022-08-07 14:00:00+00:00,2022-08-08 06:00:00+00:00,long,23108.6,22958.02,23485.05,23485.05,150.58,tp,2.5,4.469,0.827,16,long,22611.4,2022
2022-08-22 07:00:00+00:00,2022-08-22 13:00:00+00:00,short,21089.1,21366.8,20394.85,21366.8,277.7,sl,-1.0,0.83,1.045,6,short,22926.08,2022
2022-08-30 15:00:00+00:00,2022-08-30 19:00:00+00:00,short,19743.8,20007.9,19083.56,20007.9,264.1,sl,-1.0,0.831,1.292,4,short,22059.11,2022
2022-09-06 16:00:00+00:00,2022-09-06 17:00:00+00:00,short,19737.7,19954.76,19195.06,19195.06,217.06,tp,2.5,4.104,0.046,1,short,21308.58,2022
2022-09-18 10:00:00+00:00,2022-09-18 21:00:00+00:00,short,19909.5,20095.1,19445.5,19445.5,185.6,tp,2.5,2.799,0.59,11,short,20867.2,2022
2022-09-23 10:00:00+00:00,2022-09-23 22:00:00+00:00,short,18954.0,19249.16,18216.09,19249.16,295.16,sl,-1.0,1.475,1.284,12,short,20421.46,2022
2022-09-25 13:00:00+00:00,2022-09-25 16:00:00+00:00,short,18925.2,19104.04,18478.09,19104.04,178.84,sl,-1.0,0.51,1.066,3,short,20249.83,2022
2022-09-29 13:00:00+00:00,2022-09-29 16:00:00+00:00,short,18981.0,19357.0,18041.0,19357.0,376.0,sl,-1.0,0.409,1.776,3,short,20042.91,2022
2022-10-23 10:00:00+00:00,2022-10-23 17:00:00+00:00,short,19160.0,19217.39,19016.53,19217.39,57.39,sl,-1.0,1.917,5.865,7,short,19499.11,2022
2022-10-24 14:00:00+00:00,2022-10-24 19:00:00+00:00,short,19264.7,19411.78,18897.0,19411.78,147.08,sl,-1.0,0.335,1.023,5,short,19489.52,2022
2022-11-20 09:00:00+00:00,2022-11-20 21:00:00+00:00,short,16619.9,16706.93,16402.32,16402.32,87.03,tp,2.5,4.763,0.599,12,short,18458.63,2022
2022-12-02 13:00:00+00:00,2022-12-03 00:00:00+00:00,short,16881.5,17096.3,16344.5,17096.3,214.8,sl,-1.0,0.16,1.297,11,short,17465.11,2022
2022-12-03 08:00:00+00:00,2022-12-04 01:00:00+00:00,short,16939.6,17034.61,16702.09,17034.61,95.01,sl,-1.0,0.942,1.12,17,short,17442.03,2022
2022-12-04 13:00:00+00:00,2022-12-04 15:00:00+00:00,short,16939.6,17020.27,16737.94,17020.27,80.67,sl,-1.0,0.216,1.512,2,short,17408.24,2022
2022-12-18 09:00:00+00:00,2022-12-18 18:00:00+00:00,short,16689.6,16773.07,16480.92,16773.07,83.47,sl,-1.0,0.315,1.203,9,short,17266.73,2022
2022-12-19 15:00:00+00:00,2022-12-19 22:00:00+00:00,short,16660.2,16747.92,16440.89,16440.89,87.72,tp,2.5,5.132,0.396,7,short,17229.08,2022
2022-12-25 07:00:00+00:00,2022-12-25 14:00:00+00:00,short,16816.8,16851.6,16729.79,16729.79,34.8,tp,2.5,3.356,0.325,7,short,17104.15,2022
2022-12-26 15:00:00+00:00,2022-12-26 19:00:00+00:00,short,16801.2,16849.63,16680.12,16849.63,48.43,sl,-1.0,0.19,1.142,4,short,17082.76,2022
2023-01-03 15:00:00+00:00,2023-01-04 02:00:00+00:00,short,16670.8,16738.74,16500.94,16738.74,67.94,sl,-1.0,1.038,1.163,11,short,16912.74,2023
2023-01-23 10:00:00+00:00,2023-01-23 13:00:00+00:00,long,22909.0,22671.89,23501.77,22671.89,237.11,sl,-1.0,0.329,1.027,3,long,19071.11,2023
2023-01-31 15:00:00+00:00,2023-01-31 21:00:00+00:00,long,23113.9,22897.16,23655.76,22897.16,216.74,sl,-1.0,0.497,1.43,6,long,20611.67,2023
2023-02-01 14:00:00+00:00,2023-02-01 16:00:00+00:00,long,23098.0,22917.28,23549.8,22917.28,180.72,sl,-1.0,0.093,1.054,2,long,20757.16,2023
2023-02-04 14:00:00+00:00,2023-02-04 23:00:00+00:00,long,23462.5,23302.53,23862.42,23302.53,159.97,sl,-1.0,0.074,1.278,9,long,21213.65,2023
2023-02-07 09:00:00+00:00,2023-02-07 18:00:00+00:00,long,23001.6,22837.85,23410.98,22837.85,163.75,sl,-1.0,2.241,1.463,9,long,21504.31,2023
2023-02-28 15:00:00+00:00,2023-02-28 19:00:00+00:00,long,23511.2,23298.47,24043.02,23298.47,212.73,sl,-1.0,0.384,1.486,4,long,22916.33,2023
2023-03-07 09:00:00+00:00,2023-03-07 15:00:00+00:00,short,22370.8,22476.14,22107.45,22476.14,105.34,sl,-1.0,4.393,1.061,6,short,22850.42,2023
2023-03-11 08:00:00+00:00,2023-03-11 23:00:00+00:00,short,20060.4,20455.34,19073.05,20455.34,394.94,sl,-1.0,0.29,1.192,15,short,22486.94,2023
2023-03-16 09:00:00+00:00,2023-03-17 02:00:00+00:00,long,24655.4,24217.86,25749.25,25749.25,437.54,tp,2.5,2.837,0.319,17,long,22655.7,2023
2023-03-19 14:00:00+00:00,2023-03-19 18:00:00+00:00,long,27316.6,26961.15,28205.22,28205.22,355.45,tp,2.5,2.835,0.047,4,long,23331.32,2023
2023-03-23 15:00:00+00:00,2023-03-23 18:00:00+00:00,long,28574.5,27968.0,30090.75,27968.0,606.5,sl,-1.0,0.117,1.31,3,long,24285.0,2023
2023-04-03 10:00:00+00:00,2023-04-03 14:00:00+00:00,long,28291.3,27993.08,29036.84,27993.08,298.22,sl,-1.0,0.264,1.201,4,long,26039.27,2023
2023-04-18 09:00:00+00:00,2023-04-18 12:00:00+00:00,long,29887.0,29655.48,30465.8,30465.8,231.52,tp,2.5,2.561,0.159,3,long,27988.35,2023
2023-04-23 15:00:00+00:00,2023-04-24 00:00:00+00:00,short,27460.2,27698.0,26865.7,27698.0,237.8,sl,-1.0,0.644,1.72,9,short,28104.35,2023
2023-04-24 08:00:00+00:00,2023-04-24 11:00:00+00:00,short,27173.9,27510.0,26333.65,27510.0,336.1,sl,-1.0,0.071,1.101,3,short,28076.95,2023
2023-04-30 09:00:00+00:00,2023-04-30 15:00:00+00:00,long,29242.7,29099.11,29601.68,29601.68,143.59,tp,2.5,4.926,0.646,6,long,28271.52,2023
2023-05-07 15:00:00+00:00,2023-05-07 22:00:00+00:00,long,28933.1,28709.92,29491.04,28709.92,223.18,sl,-1.0,0.389,1.044,7,long,28465.97,2023
2023-05-10 07:00:00+00:00,2023-05-10 12:00:00+00:00,short,27532.4,27747.81,26993.88,27747.81,215.41,sl,-1.0,0.346,2.955,5,short,28380.47,2023
2023-05-18 16:00:00+00:00,2023-05-18 17:00:00+00:00,short,27060.1,27304.74,26448.51,26448.51,244.64,tp,2.5,2.963,0.074,1,short,27853.5,2023
2023-06-12 15:00:00+00:00,2023-06-13 00:00:00+00:00,short,25809.3,26019.88,25282.84,26019.88,210.58,sl,-1.0,0.804,1.029,9,short,26923.4,2023
2023-06-29 08:00:00+00:00,2023-06-30 04:00:00+00:00,long,30376.4,30137.38,30973.96,30973.96,239.02,tp,2.5,3.864,0.646,20,long,28089.7,2023
2023-07-02 14:00:00+00:00,2023-07-02 15:00:00+00:00,long,30586.5,30462.35,30896.87,30462.35,124.15,sl,-1.0,0.189,3.517,1,long,28511.45,2023
2023-07-02 16:00:00+00:00,2023-07-02 18:00:00+00:00,long,30558.4,30379.99,31004.42,30379.99,178.41,sl,-1.0,0.108,1.122,2,long,28531.15,2023
2023-07-06 07:00:00+00:00,2023-07-06 08:00:00+00:00,long,30792.3,30583.53,31314.23,31314.23,208.77,tp,2.5,2.716,0.102,1,long,28952.13,2023
2023-07-10 14:00:00+00:00,2023-07-10 19:00:00+00:00,long,30296.8,30121.82,30734.25,30734.25,174.98,tp,2.5,3.047,0.419,5,long,29248.01,2023
2023-07-16 14:00:00+00:00,2023-07-16 18:00:00+00:00,long,30388.6,30267.24,30692.0,30267.24,121.36,sl,-1.0,0.256,1.604,4,long,29649.02,2023
2023-07-26 10:00:00+00:00,2023-07-26 14:00:00+00:00,short,29180.0,29323.77,28820.58,29323.77,143.77,sl,-1.0,0.242,1.178,4,short,29692.94,2023
2023-07-29 10:00:00+00:00,2023-07-29 20:00:00+00:00,short,29264.7,29362.38,29020.5,29362.38,97.68,sl,-1.0,0.189,1.066,10,short,29627.19,2023
2023-07-31 15:00:00+00:00,2023-08-01 02:00:00+00:00,short,29231.3,29363.54,28900.7,28900.7,132.24,tp,2.5,4.133,0.802,11,short,29588.86,2023
2023-08-07 13:00:00+00:00,2023-08-07 16:00:00+00:00,short,29019.4,29124.97,28755.47,28755.47,105.57,tp,2.5,3.193,0.438,3,short,29436.79,2023
2023-09-06 07:00:00+00:00,2023-09-06 17:00:00+00:00,short,25715.0,25830.08,25427.3,25830.08,115.08,sl,-1.0,3.38,2.928,10,short,27153.8,2023
2023-09-11 09:00:00+00:00,2023-09-11 14:00:00+00:00,short,25727.3,25874.79,25358.57,25358.57,147.49,tp,2.5,5.194,0.152,5,short,26804.52,2023
2023-09-20 14:00:00+00:00,2023-09-20 19:00:00+00:00,long,27109.9,26875.73,27695.32,26875.73,234.17,sl,-1.0,0.803,1.58,5,long,26681.92,2023
2023-10-04 09:00:00+00:00,2023-10-04 13:00:00+00:00,long,27610.8,27407.97,28117.88,27407.97,202.83,sl,-1.0,0.083,1.138,4,long,26815.4,2023
2023-10-06 09:00:00+00:00,2023-10-06 12:00:00+00:00,long,27674.9,27503.35,28103.78,27503.35,171.55,sl,-1.0,0.642,3.001,3,long,26900.54,2023
2023-10-06 14:00:00+00:00,2023-10-06 21:00:00+00:00,long,27654.7,27376.45,28350.33,28350.33,278.25,tp,2.5,2.858,0.141,7,long,26909.0,2023
2023-10-10 08:00:00+00:00,2023-10-10 11:00:00+00:00,long,27663.7,27511.74,28043.6,27511.74,151.96,sl,-1.0,0.046,1.166,3,long,27092.67,2023
2023-10-13 15:00:00+00:00,2023-10-13 20:00:00+00:00,short,26693.0,26846.69,26308.76,26846.69,153.69,sl,-1.0,0.117,2.635,5,short,27067.81,2023
2023-10-19 10:00:00+00:00,2023-10-20 02:00:00+00:00,long,28460.9,28270.55,28936.79,28936.79,190.35,tp,2.5,3.883,0.362,16,long,27261.29,2023
2023-10-29 08:00:00+00:00,2023-10-29 17:00:00+00:00,long,34257.9,34079.91,34702.86,34702.86,177.99,tp,2.5,2.899,0.537,9,long,29621.13,2023
2023-10-30 09:00:00+00:00,2023-10-30 17:00:00+00:00,long,34537.4,34255.02,35243.34,34255.02,282.38,sl,-1.0,1.242,1.726,8,long,29898.44,2023
2023-11-06 09:00:00+00:00,2023-11-06 18:00:00+00:00,long,35139.9,34841.91,35884.89,34841.91,297.99,sl,-1.0,0.537,1.07,9,long,31569.29,2023
2023-12-13 14:00:00+00:00,2023-12-13 19:00:00+00:00,long,41459.6,40993.96,42623.7,42623.7,465.64,tp,2.5,3.14,0.012,5,long,39149.59,2023
2023-12-15 09:00:00+00:00,2023-12-15 13:00:00+00:00,long,42859.8,42410.05,43984.18,42410.05,449.75,sl,-1.0,0.134,1.441,4,long,39528.58,2023
2023-12-23 14:00:00+00:00,2023-12-24 05:00:00+00:00,long,43818.1,43530.38,44537.39,43530.38,287.72,sl,-1.0,0.614,1.265,15,long,40822.76,2023
2023-12-25 13:00:00+00:00,2023-12-25 20:00:00+00:00,long,43714.1,43373.84,44564.74,43373.84,340.26,sl,-1.0,0.333,1.057,7,long,41128.62,2023
2023-12-27 10:00:00+00:00,2023-12-27 13:00:00+00:00,long,43238.1,42731.9,44503.6,42731.9,506.2,sl,-1.0,0.077,1.01,3,long,41309.41,2023
